state_data,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,pAVG,pSTD
lie,18,18,18,19,673,19,19,19,772,828,660,18,256.8,354.4
lie,20,19,20,19,636,20,57,20,760,828,668,20,257.3,347.2
lie,0,0,0,0,573,2,289,0,717,823,668,0,256.0,338.9
lie,8,8,10,11,568,7,281,11,705,824,675,11,259.9,333.5
lie,18,19,18,19,597,24,150,19,745,827,674,19,260.8,338.3
lie,19,20,20,20,646,20,20,20,771,829,665,20,255.8,351.5
lie,0,0,0,0,648,0,0,0,767,825,655,0,241.3,359.2
lie,11,8,8,10,613,8,8,11,768,826,663,10,245.3,352.4
lie,18,19,18,19,597,19,53,19,748,827,674,18,252.4,343.1
lie,20,20,20,20,588,20,262,20,732,827,678,20,268.9,334.2
lie,0,0,0,0,587,3,209,0,739,823,669,0,252.5,343.0
lie,11,8,8,10,611,8,7,10,766,825,666,11,245.1,352.2
lie,19,19,19,19,632,18,18,18,773,830,667,18,254.2,351.4
lie,19,20,20,20,625,21,20,20,773,829,668,20,254.6,349.9
lie,0,0,0,0,601,0,0,0,755,824,668,0,237.3,354.3
lie,11,8,8,10,588,8,100,11,746,825,674,10,249.9,343.6
lie,18,19,18,19,594,31,132,19,750,827,677,19,260.3,339.2
lie,20,20,20,21,612,31,20,20,762,828,676,20,254.2,347.2
lie,0,0,0,0,609,0,0,0,768,825,662,0,238.7,356.2
lie,11,8,8,10,615,8,8,10,771,826,665,11,245.9,353.2
lie,18,19,19,19,614,19,19,19,770,829,675,18,253.2,349.9
lie,20,19,20,20,601,20,20,20,758,828,678,20,252.0,346.7
lie,0,0,0,0,589,0,0,0,751,823,671,0,236.2,352.8
lie,10,8,7,10,606,8,8,10,759,825,673,11,244.6,351.6
lie,18,19,19,19,615,19,18,19,772,829,675,19,253.4,350.2
lie,20,20,20,21,616,20,20,20,773,829,673,20,254.3,349.6
lie,0,0,0,0,607,0,0,0,768,824,668,0,238.9,356.6
lie,11,7,7,10,607,8,8,10,762,826,673,11,245.0,352.2
lie,18,18,19,18,602,19,18,19,761,828,678,18,251.3,347.9
lie,20,20,20,20,610,20,20,20,763,829,678,20,253.3,348.3
lie,0,0,0,0,605,0,0,0,766,825,669,0,238.8,356.4
